filename,positive,negative,class,gender,direction
alchemist_female_south,"ROSPRITE, pixel art sprite, chibi character, ragnarok online style, alchemist class, female, full body, facing camera directly, front view, axe, lab coat and bottles, potion maker, white background, detailed pixel shading, high contrast, crisp edges, no anti-aliasing, 32-bit color palette, isometric perspective","blurry, smooth, realistic proportions, 3D render, photograph, watermark, text, bad anatomy, extra limbs, deformed, low quality, jpeg artifacts, anti-aliasing, gradient, multiple characters, cropped, out of frame, worst quality, signature",alchemist,female,south
alchemist_female_southwest,"ROSPRITE, pixel art sprite, chibi character, ragnarok online style, alchemist class, female, full body, three-quarter view facing bottom-left, axe, lab coat and bottles, potion maker, white background, detailed pixel shading, high contrast, crisp edges, no anti-aliasing, 32-bit color palette, isometric perspective","blurry, smooth, realistic proportions, 3D render, photograph, watermark, text, bad anatomy, extra limbs, deformed, low quality, jpeg artifacts, anti-aliasing, gradient, multiple characters, cropped, out of frame, worst quality, signature",alchemist,female,southwest
alchemist_female_west,"ROSPRITE, pixel art sprite, chibi character, ragnarok online style, alchemist class, female, full body, profile view facing left, side view, axe, lab coat and bottles, potion maker, white background, detailed pixel shading, high contrast, crisp edges, no anti-aliasing, 32-bit color palette, isometric perspective","blurry, smooth, realistic proportions, 3D render, photograph, watermark, text, bad anatomy, extra limbs, deformed, low quality, jpeg artifacts, anti-aliasing, gradient, multiple characters, cropped, out of frame, worst quality, signature",alchemist,female,west
alchemist_female_northwest,"ROSPRITE, pixel art sprite, chibi character, ragnarok online style, alchemist class, female, full body, three-quarter back view facing upper-left, axe, lab coat and bottles, potion maker, white background, detailed pixel shading, high contrast, crisp edges, no anti-aliasing, 32-bit color palette, isometric perspective","blurry, smooth, realistic proportions, 3D render, photograph, watermark, text, bad anatomy, extra limbs, deformed, low quality, jpeg artifacts, anti-aliasing, gradient, multiple characters, cropped, out of frame, worst quality, signature",alchemist,female,northwest
alchemist_female_north,"ROSPRITE, pixel art sprite, chibi character, ragnarok online style, alchemist class, female, full body, facing away from camera, back view, rear, axe, lab coat and bottles, potion maker, white background, detailed pixel shading, high contrast, crisp edges, no anti-aliasing, 32-bit color palette, isometric perspective","blurry, smooth, realistic proportions, 3D render, photograph, watermark, text, bad anatomy, extra limbs, deformed, low quality, jpeg artifacts, anti-aliasing, gradient, multiple characters, cropped, out of frame, worst quality, signature",alchemist,female,north
